Neighborhood,Total_Homes
Allegheny Center,38.0
Allegheny West,77.0
Allentown,575.0
Arlington,469.0
Arlington Heights,0.0
Banksville,980.0
Bedford Dwellings,51.0
Beechview,2043.0
Beltzhoover,543.0
Bloomfield,1650.0
Bluff,119.0
Bon Air,310.0
Brighton Heights,2219.0
Brookline,4376.0
California-Kirkbride,85.0
Carrick,2660.0
Central Business District,402.0
Central Lawrenceville,1055.0
Central Northside,627.0
Central Oakland,197.0
Chartiers City,166.0
Chateau,0.0
Crafton Heights,1014.0
Crawford-Roberts,290.0
Duquesne Heights,812.0
East Allegheny,447.0
East Carnegie,128.0
East Hills,544.0
East Liberty,415.0
Elliott,558.0
Esplen,113.0
Fairywood,86.0
Fineview,237.0
Friendship,108.0
Garfield,624.0
Glen Hazel,0.0
Greenfield,2059.0
Hays,80.0
Hazelwood,1051.0
Highland Park,1499.0
Homewood North,667.0
Homewood South,364.0
Homewood West,207.0
Knoxville,738.0
Larimer,213.0
Lincoln Place,1251.0
Lincoln-Lemington-Belmar,896.0
Lower Lawrenceville,444.0
Manchester,496.0
Marshall-Shadeland,1032.0
Middle Hill,247.0
Morningside,1013.0
Mount Oliver Borough,595.0
Mount Washington,1927.0
Mt. Oliver,126.0
New Homestead,360.0
North Oakland,930.0
North Shore,0.0
Northview Heights,4.0
Oakwood,280.0
Overbrook,1284.0
Perry North,1136.0
Perry South,869.0
Point Breeze,1586.0
Point Breeze North,343.0
Polish Hill,379.0
Regent Square,327.0
Ridgemont,142.0
Shadyside,2030.0
Sheraden,1240.0
South Oakland,485.0
South Shore,0.0
South Side Flats,1413.0
South Side Slopes,1041.0
Spring Garden,269.0
Spring Hill-City View,642.0
Squirrel Hill North,2065.0
Squirrel Hill South,3069.0
St. Clair,52.0
Stanton Heights,1733.0
Strip District,81.0
Summer Hill,377.0
Swisshelm Park,510.0
Terrace Village,38.0
Troy Hill,622.0
Upper Hill,493.0
Upper Lawrenceville,689.0
West End,39.0
West Oakland,173.0
Westwood,996.0
Windgap,568.0
