Neighborhood,Total_Homes,Arrest_Count,Incident_Count,Norm_Homes,Norm_Arrests,Norm_Incidents,Safety_Score
Stanton Heights,1733.0,223.0,63,0.3960237659963437,0.9497747747747748,0.8018867924528301,0.7158951110746495
Mount Oliver Borough,595.0,0.0,7,0.1359689213893967,1.0,0.9779874213836478,0.7046521142576815
Westwood,996.0,226.0,28,0.22760511882998172,0.9490990990990991,0.9119496855345912,0.6962179678212239
Morningside,1013.0,188.0,37,0.23148994515539306,0.9576576576576576,0.8836477987421384,0.6909318005183964
Point Breeze,1586.0,301.0,73,0.3624314442413163,0.9322072072072072,0.770440251572327,0.6883596343402836
Swisshelm Park,510.0,43.0,17,0.11654478976234003,0.9903153153153154,0.9465408805031447,0.6844669951936
Brookline,4376.0,1390.0,206,1.0,0.6869369369369369,0.35220125786163525,0.6797127315995241
Regent Square,327.0,37.0,9,0.07472577696526508,0.9916666666666667,0.9716981132075472,0.6793635189464929
Windgap,568.0,124.0,24,0.12979890310786105,0.972072072072072,0.9245283018867925,0.6754664256889086
Overbrook,1284.0,331.0,62,0.29341864716636196,0.9254504504504505,0.8050314465408805,0.6746335147192309
