Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - With public assistance income,Margin of Error; Total: - With public assistance income,Estimate; Total: - No public assistance income,Margin of Error; Total: - No public assistance income
Allegheny Center,1,733,103,12,13,721,104
Allegheny West,2,150,46,3,6,147,47
Allentown,3,1138.0,152.751432072,150.0,102.318131336,988.0,138.49909747
Arlington,4,685.0,105.366028681,43.0,32.7871926215,642.0,102.610915599
Arlington Heights,5,170,69,48,48,122,59
Banksville,6,2002.0,224.986666271,33.0,39.6232255123,1969.0,227.670814994
Bedford Dwellings,7,684,63,120,41,564,68
Beechview,8,3557.0,270.051846874,164.0,92.8816451189,3393.0,265.557903291
Beltzhoover,9,869.0,146.594679303,78.0,67.6387462923,791.0,135.185058346
Bloomfield,10,4640.0,215.506380416,115.0,49.8297100132,4525.0,218.940631222
Bluff,11,274.0,67.6830850361,10.0,17.4928556845,264.0,68.6804193347
Bon Air,12,356,74,9,15,347,78
Brighton Heights,13,3259.0,203.816093574,148.0,71.0352025407,3111.0,201.410029542
Brookline,14,6017.0,340.492290662,179.0,88.881944173,5838.0,344.268790337
California-Kirkbride,15,291,52,70,35,221,54
Carrick,16,4310.0,280.110692406,235.0,75.133215025,4075.0,283.809795461
Central Business District,17,1831.0,222.436507795,43.0,39.0384425919,1788.0,222.436507795
Central Lawrenceville,18,2230.0,175.339670354,68.0,37.7094152699,2162.0,175.59897494
Central Northside,19,1487.0,126.4673871,75.0,45.4972526643,1412.0,131.015266286
Central Oakland,20,1918.0,152.6761278,17.0,20.6155281281,1901.0,153.863575937
Chartiers City,21,215,60,0,10,215,60
Chateau,22,0,10,0,10,0,10
Crafton Heights,23,1640.0,124.49899598,110.0,47.3392015141,1530.0,128.288736841
Crawford-Roberts,24,1146.0,147.322774886,137.0,74.5184540902,1009.0,153.222061075
Duquesne Heights,25,1175.0,108.706025592,0.0,14.1421356237,1175.0,108.706025592
East Allegheny,26,1318.0,147.989864518,120.0,63.8200595424,1198.0,157.289541928
East Carnegie,27,223,38,12,12,211,39
East Hills,28,1325.0,142.530698448,197.0,73.7427962583,1128.0,145.289366438
East Liberty,29,2894.0,229.279305651,207.0,83.1324244805,2687.0,232.284308553
Elliott,30,947.0,129.853763904,58.0,39.0384425919,889.0,130.061523903
Esplen,31,147,53,13,15,134,52
Fairywood,32,457,85,0,10,457,85
Fineview,33,648.0,107.517440446,85.0,55.4436651025,563.0,109.622078068
Friendship,34,1077.0,125.924580603,19.0,21.2602916255,1058.0,127.882758807
Garfield,35,1506.0,137.648102058,163.0,57.636793804,1343.0,135.849181079
Glen Hazel,36,254,86,36,34,218,88
Greenfield,37,3390.0,248.064507739,24.0,38.4187454246,3366.0,249.623716821
Hays,38,170,38,4,6,166,37
Hazelwood,39,1884.0,205.625873858,142.0,78.7083223046,1742.0,201.952964821
Highland Park,40,3025.0,247.513635987,25.0,34.4238289561,3000.0,247.971772587
Homewood North,41,1275.0,144.855100014,219.0,79.3662396741,1056.0,139.753354163
Homewood South,42,1105.0,119.159556897,136.0,54.7996350354,969.0,115.091268131
Homewood West,43,423.0,79.0253124005,48.0,32.2024843762,375.0,79.2022726947
Knoxville,44,1508.0,214.471443321,144.0,78.0256368126,1364.0,216.575621897
Larimer,45,660.0,94.6308617736,79.0,37.2961123979,581.0,93.0107520667
Lincoln Place,46,1444.0,146.656060223,26.0,27.6586333719,1418.0,145.588461082
Lincoln-Lemington-Belmar,47,1897.0,153.264477293,213.0,88.7806285177,1684.0,147.258276508
Lower Lawrenceville,48,1241.0,131.590273197,82.0,53.0094331228,1159.0,130.107647738
Manchester,49,930.0,111.400179533,63.0,33.2866339542,867.0,117.889779031
Marshall-Shadeland,50,1694.0,173.389734414,110.0,76.3151361133,1584.0,168.528929268
Middle Hill,51,904.0,119.12178642,76.0,31.0161248386,828.0,118.194754537
Morningside,52,1557.0,152.009868101,38.0,30.5614135799,1519.0,152.0098681
